Date,Open,High,Low,Close,Volume
15-03-2023,14458.15,14494.35,14298.15,14320.3,1390000000
14-03-2023,14462,14499.2,14306.8,14358.55,1540000000
13-03-2023,14681.55,14752.85,14420.5,14454.45,1820000000
10-03-2023,14695.05,14699.35,14593.4,14679.85,1250000000
09-03-2023,14947.05,14952.85,14788.9,14803.95,1340000000
08-03-2023,14843.1,14932.4,14791.25,14921.95,1380000000
06-03-2023,14848.35,14942.05,14843.7,14881,1620000000
03-03-2023,14686.25,14813.05,14676.05,14774.75,1830000000
02-03-2023,14654.8,14668.4,14575.95,14587.25,1560000000
01-03-2023,14557,14675.05,14550.1,14664.85,1610000000
28-02-2023,14550,14584.45,14476,14518.75,2040000000
27-02-2023,14600.9,14609.4,14465.7,14548.7,1360000000
24-02-2023,14723.4,14741.95,14598.95,14630.45,1440000000
23-02-2023,14715.2,14740.8,14599.1,14666.75,1740000000
22-02-2023,14854.15,14861.05,14674.25,14701.9,1450000000
21-02-2023,14982,14992.7,14894.15,14913.95,1360000000
20-02-2023,15023.45,15036.45,14920.7,14938.65,1490000000
17-02-2023,15036.25,15077,14966.3,15003.95,1180000000
16-02-2023,15098.45,15135.35,15060,15083.75,1260000000
15-02-2023,14939,15053.55,14923.25,15039.65,1260000000
14-02-2023,14936.2,14988,14879.35,14968.9,1320000000
13-02-2023,15011.35,15022.55,14875.85,14900.5,1390000000
10-02-2023,14992.65,15031.1,14969.55,15015.85,1570000000
09-02-2023,15036.85,15054.75,14956.9,15030.1,1570000000
08-02-2023,14927.55,15046.7,14924.05,15028.3,1730000000
07-02-2023,14950.15,14970.8,14845.95,14902.2,1680000000
06-02-2023,14939.4,14954.3,14870.55,14934.15,2180000000
03-02-2023,14904.1,14972.15,14746.45,14962.35,2020000000
02-02-2023,14760.35,14887.45,14698.4,14839.4,2060000000
01-02-2023,15054.8,15154.1,14622.65,14847.65,2640000000
31-01-2023,14906.45,14962.95,14787.85,14935.5,2140000000
30-01-2023,14807.5,14955.15,14675.05,14854.2,2180000000
27-01-2023,15160.15,15165.4,14779.1,14874.75,2360000000
25-01-2023,15364.4,15368.7,15146.4,15171.95,1800000000
24-01-2023,15451.2,15459.3,15364.2,15388.55,1390000000
23-01-2023,15411.5,15427.5,15364.25,15403.2,1750000000
20-01-2023,15428.2,15443.45,15336.7,15347.9,1460000000
19-01-2023,15427.15,15455.15,15387.25,15419.7,1400000000
18-01-2023,15416.6,15479.65,15376.5,15466.35,1460000000
17-01-2023,15328.85,15411,15291.6,15396.15,1660000000
16-01-2023,15398.15,15421.25,15276.5,15305.45,1860000000
13-01-2023,15295.9,15370.05,15215,15346.1,1650000000
12-01-2023,15329.7,15347.2,15203.55,15279.6,1530000000
11-01-2023,15342.75,15375.1,15257,15301.35,1620000000
10-01-2023,15470,15472.45,15262.1,15325.25,1600000000
09-01-2023,15360.4,15472.15,15353.35,15450.1,1620000000
06-01-2023,15401.35,15419.4,15219.85,15272,1730000000
05-01-2023,15446.5,15462.15,15286.4,15386.2,1760000000
04-01-2023,15563.15,15574.5,15375.8,15393,2140000000
03-01-2023,15515.75,15575.7,15500.75,15557.8,2080000000
02-01-2023,15479.95,15536.35,15433.3,15523.65,2100000000
30-12-2022,15557.75,15581.95,15425.65,15448.85,2140000000
29-12-2022,15370,15517.45,15307,15485.2,2120000000
28-12-2022,15390.55,15468.15,15363.65,15432.8,2370000000
27-12-2022,15375.2,15433.65,15278.6,15418.35,2550000000
26-12-2022,15060.85,15350.35,14985.4,15298.55,2910000000
23-12-2022,15300.75,15349.35,15018.75,15046,2820000000
22-12-2022,15599.55,15636.1,15369.6,15431.5,2760000000
21-12-2022,15772.95,15812.05,15497.6,15527.55,3060000000
20-12-2022,15704.05,15740.25,15580.8,15726.2,2330000000
19-12-2022,15658.85,15764,15606.15,15755.2,2540000000
16-12-2022,15710.9,15799.35,15625.25,15636.35,2880000000
15-12-2022,15938.05,15968.2,15758.85,15783.8,3340000000
14-12-2022,15958.15,15988.55,15946.3,15963.8,4420000000
13-12-2022,15863.25,15913.8,15830.65,15904.5,3500000000
12-12-2022,15759.65,15836.85,15687.95,15828,2790000000
09-12-2022,15964.85,15967.3,15727.35,15812.75,3680000000
08-12-2022,15881.8,15918.75,15860.3,15911.1,1970000000
07-12-2022,15932.25,15953.25,15836.05,15862,2010000000
06-12-2022,15904.1,15936.7,15881.6,15922.85,2310000000
05-12-2022,15994.95,15999.8,15881.8,15967.2,2370000000
02-12-2022,15977.5,15991.05,15909.6,15963.5,2230000000
01-12-2022,16041.15,16041.65,15972.75,16003.95,2090000000
30-11-2022,15827.45,15991.6,15820.55,15946.15,3150000000
29-11-2022,15784.55,15859.35,15782.4,15812.45,2090000000
28-11-2022,15683.75,15817.35,15642.8,15784.45,2410000000
25-11-2022,15719.8,15743.1,15668.35,15727.25,2580000000
24-11-2022,15588.45,15706.5,15567.75,15680.8,1940000000
23-11-2022,15572.75,15572.9,15520.25,15538.15,1970000000
22-11-2022,15472.65,15518.1,15437.3,15509.2,1890000000
21-11-2022,15514.6,15523.15,15431.2,15453.8,1900000000
18-11-2022,15634.3,15644.8,15472.35,15550.85,1740000000
17-11-2022,15630.55,15661.1,15573.95,15597.25,1750000000
16-11-2022,15696.55,15711.3,15607.25,15663.3,1900000000
15-11-2022,15678.5,15708.9,15609.5,15693.9,1490000000
14-11-2022,15672.5,15684.25,15627.75,15650.2,1980000000
11-11-2022,15633.5,15662.05,15612.45,15649.1,2300000000
10-11-2022,15490.25,15523.9,15384.35,15440,1700000000
09-11-2022,15684.45,15686.35,15534.85,15567.25,2290000000
07-11-2022,15610.95,15647.25,15505.75,15615.15,2100000000
04-11-2022,15495.75,15542.15,15454.3,15530.85,1800000000
03-11-2022,15407.8,15519.15,15401.3,15484.7,1530000000
02-11-2022,15560.45,15561.1,15470.4,15497.55,1360000000
01-11-2022,15507.95,15545.85,15460.7,15537.4,1760000000
31-10-2022,15333.15,15433.05,15327.4,15424,1440000000
28-10-2022,15265.45,15290.15,15191.6,15241.6,1490000000
27-10-2022,15246.55,15273.3,15172.15,15244.25,1790000000
25-10-2022,15251.75,15253.75,15143.45,15158.1,1720000000
24-10-2022,15225.45,15248.05,15179.15,15198.75,396650000
21-10-2022,15159.6,15181.9,15036.1,15081.1,1650000000
20-10-2022,14998.45,15128.4,14979.6,15112.1,1950000000
19-10-2022,15120.4,15153.05,15039.8,15068.6,1900000000
18-10-2022,15009.1,15071.95,15007.25,15056.55,1740000000
17-10-2022,14783.2,14920.7,14718.8,14906.15,1400000000
14-10-2022,14979.15,14989.15,14803.7,14815.1,1270000000
13-10-2022,14811.2,14832.35,14683.55,14730.3,1320000000
12-10-2022,14761.45,14844.85,14676.55,14829.95,1420000000
11-10-2022,14980.45,14982.75,14692.55,14721.9,1500000000
10-10-2022,14857,14989.05,14818.5,14951.65,1420000000
07-10-2022,15030.2,15055.65,14943.15,15036.7,1540000000
06-10-2022,15063.55,15119.9,15042.2,15053.05,1650000000
04-10-2022,14869.55,14975.6,14852.55,14965.8,1540000000
03-10-2022,14837.1,14858.65,14585.8,14638.5,1650000000
30-09-2022,14586.9,14881.3,14516.3,14829.35,1870000000
29-09-2022,14748.2,14783.75,14569.1,14602.5,1810000000
28-09-2022,14617.4,14768.25,14577.05,14620.6,1560000000
27-09-2022,14805.85,14874.45,14652.3,14727.3,1680000000
26-09-2022,14916.9,14932.5,14671.05,14725.7,1990000000
23-09-2022,15324.3,15360.2,15032.75,15057.65,1720000000
22-09-2022,15284.6,15386.75,15224.95,15335.3,1870000000
21-09-2022,15449.25,15516.5,15320.05,15361.25,1630000000
20-09-2022,15423.5,15557.3,15410.25,15470.35,1510000000
19-09-2022,15264.25,15348.8,15135.15,15293.55,1590000000
16-09-2022,15529.35,15542,15197.9,15243.95,2580000000
15-09-2022,15686,15724.45,15543.9,15580.35,1810000000
14-09-2022,15423.9,15688.1,15423.9,15630.7,2020000000
13-09-2022,15667.35,15686.85,15635.15,15669.85,1800000000
12-09-2022,15524.7,15600.15,15522.4,15577.4,1400000000
09-09-2022,15547.55,15548.85,15426.4,15467.4,1880000000
08-09-2022,15430.2,15448.75,15365.7,15440.7,1960000000
07-09-2022,15222.25,15334,15199.4,15319.4,2330000000
06-09-2022,15339.3,15386.75,15248,15313.05,2340000000
05-09-2022,15221.75,15311.95,15217.35,15294.4,2060000000
02-09-2022,15272.45,15305,15184.3,15201.6,1720000000
01-09-2022,15142.7,15309.85,15141.45,15211.2,1890000000
30-08-2022,15071.45,15338.8,15065.35,15325.05,1850000000
29-08-2022,14797.8,15016.25,14793.95,14972.75,1540000000
26-08-2022,15187.1,15242.65,15116.2,15147.55,1710000000
25-08-2022,15208.85,15252.8,15075.1,15100.65,2160000000
24-08-2022,15062.45,15152.45,15037.15,15140.4,1750000000
23-08-2022,14887,15128.25,14879.9,15090.5,1840000000
22-08-2022,15183.1,15186.15,14980.4,15001.75,1650000000
19-08-2022,15426.2,15445.5,15205.55,15236.65,1930000000
18-08-2022,15355.6,15415.25,15325.2,15404.6,1750000000
17-08-2022,15325.35,15398.45,15306.55,15379.05,1880000000
16-08-2022,15222.9,15287.45,15203.5,15280.5,0
12-08-2022,15102.8,15162.3,15060.75,15140.55,1740000000
11-08-2022,15123.65,15130.05,15069.9,15095.15,1500000000
10-08-2022,15033.3,15033.3,14919.2,14985.8,1690000000
08-08-2022,14910.6,15009.9,14867.2,14993.35,1440000000
05-08-2022,14933.2,14972.1,14874.25,14900.4,2150000000
04-08-2022,14944.95,14974.7,14688,14892.45,2320000000
03-08-2022,14880.65,14906.7,14750.75,14878.05,2400000000
02-08-2022,14831.9,14906,14765.3,14876.6,3260000000
01-08-2022,14741.4,14858.3,14666.2,14846.85,2120000000
29-07-2022,14588.15,14677.75,14553.65,14665.65,1920000000
28-07-2022,14365.05,14481.45,14330.3,14469.1,1740000000
27-07-2022,14131.8,14272.2,14099.9,14262.55,1510000000
26-07-2022,14284.7,14286.5,14122.55,14141.45,1490000000
25-07-2022,14307.9,14335.1,14228.15,14279.5,1390000000
22-07-2022,14325.05,14359.75,14265.25,14336.6,1250000000
21-07-2022,14172.8,14288.6,14141.65,14271.8,1380000000
20-07-2022,14220.2,14230.9,14140,14164.4,1360000000
19-07-2022,13922.55,14067.75,13922.35,14051.65,1280000000
18-07-2022,13883.8,13993.4,13877.6,13984.4,1170000000
15-07-2022,13761.1,13804.05,13695.2,13790.2,1080000000
14-07-2022,13771.2,13797.6,13617.15,13702.65,1080000000
13-07-2022,13842.8,13861.3,13714.2,13726.95,1100000000
12-07-2022,13823.6,13866.65,13757.3,13779,1230000000
11-07-2022,13771.4,13905.95,13755.75,13886.85,1250000000
08-07-2022,13873.75,13874.7,13770.9,13828.25,1090000000
07-07-2022,13736.95,13777.75,13687.55,13765.6,1220000000
06-07-2022,13472.8,13647.2,13443.35,13631.3,1160000000
05-07-2022,13533.75,13628.45,13439.4,13461.85,1140000000
04-07-2022,13378.4,13483.7,13337.2,13472.65,1090000000
01-07-2022,13335.25,13422.45,13192.9,13394.45,1290000000
30-06-2022,13410.8,13492.15,13352.4,13387.55,1300000000
29-06-2022,13337.65,13462.05,13328.2,13417.85,1410000000
28-06-2022,13389.85,13487.5,13330.75,13464.25,1240000000
27-06-2022,13506.35,13510.8,13432.65,13444.55,1200000000
24-06-2022,13269.2,13337.7,13247.95,13322.5,1190000000
23-06-2022,13081.9,13231.9,13021.25,13178.8,1230000000
22-06-2022,13176.1,13184.9,13028.35,13047.75,1280000000
21-06-2022,13042.8,13275.5,13019.35,13241.9,1450000000
20-06-2022,13026.15,13049.4,12855.55,12950.75,1550000000
17-06-2022,13011.4,13111.95,12903.85,12994.75,1640000000
16-06-2022,13508.7,13527.8,13064.05,13089.2,1380000000
15-06-2022,13412.2,13448.45,13366.75,13380.85,973340000
14-06-2022,13341.95,13506.5,13324.15,13388.3,1240000000
13-06-2022,13521.2,13527.75,13356.2,13416.9,1310000000
10-06-2022,13825,13860.05,13757.95,13781.75,1030000000
09-06-2022,13816.7,13989,13790,13977.1,1110000000
08-06-2022,13981.65,14020.45,13832.45,13886.9,1230000000
07-06-2022,13978.65,13990.2,13883.75,13935.6,1120000000
06-06-2022,14042.4,14081.2,13932.15,14054.1,1120000000
03-06-2022,14280.35,14300,14064.9,14077.9,1210000000
02-06-2022,14059.25,14179.3,14029.8,14167.95,1280000000
01-06-2022,14132.1,14186.9,14009.05,14082.9,1370000000
31-05-2022,14106,14215.45,14067.05,14119.6,2590000000
30-05-2022,14022.6,14163.05,14009.65,14154.8,1400000000
27-05-2022,13839.3,13885.05,13768.3,13873.15,1250000000
26-05-2022,13651.55,13756.85,13445.25,13722.55,1680000000
25-05-2022,13805.1,13821.4,13574.5,13587.75,1370000000
24-05-2022,13858.05,13883.55,13709.4,13747.25,1570000000
23-05-2022,13929.75,14005.5,13813.6,13835.8,1570000000
20-05-2022,13755.05,13906.4,13733.55,13895.05,1400000000
19-05-2022,13625.75,13680.65,13520.95,13550.9,1520000000
18-05-2022,13989.35,14064,13896.6,13918.2,1590000000
17-05-2022,13648.45,13944.7,13632.15,13926.05,1540000000
16-05-2022,13540.25,13646.3,13434.45,13571.2,1500000000
13-05-2022,13621.2,13738.55,13435.05,13471.5,1730000000
12-05-2022,13656.95,13671,13389.75,13465.25,1830000000
11-05-2022,13888.15,13949.1,13589.35,13771.8,1790000000
10-05-2022,13953.95,14068.4,13823.35,13855.95,1350000000
09-05-2022,14002.75,14088.3,13879.55,13991.75,1420000000
06-05-2022,14159.1,14205,14073.45,14145.75,1530000000
05-05-2022,14542.15,14606.05,14365.55,14395.5,1350000000
04-05-2022,14771.45,14798.3,14343.6,14393.35,1620000000
02-05-2022,14647.25,14751.05,14617.75,14736.3,1410000000
29-04-2022,14991.45,15011.7,14743.35,14783.35,1610000000
28-04-2022,14886.5,14964.6,14765.85,14913.9,1610000000
27-04-2022,14797.35,14825.55,14678.95,14756,1540000000
26-04-2022,14818.8,14915.35,14785.85,14898.35,1360000000
25-04-2022,14758.6,14769.1,14623.1,14673,1530000000
22-04-2022,14948.1,15015.35,14875.8,14894.85,1490000000
21-04-2022,14946.3,15067.45,14929.15,15053.95,1440000000
20-04-2022,14807.15,14905.25,14747.95,14850.3,1460000000
19-04-2022,15012.75,15041.65,14617.05,14726.65,1850000000
18-04-2022,14942.6,14971.5,14821.25,14926.05,1670000000
13-04-2022,15239.65,15284.7,15126.65,15138.55,1390000000
12-04-2022,15281.85,15283.35,15078.45,15164.7,1770000000
11-04-2022,15337.5,15386.85,15294.3,15325.5,1750000000
08-04-2022,15271.35,15386.1,15202.5,15342.4,2390000000
07-04-2022,15292.35,15361.2,15185.7,15201.25,3300000000
06-04-2022,15318.15,15387.4,15293.85,15327.9,2840000000
05-04-2022,15433.05,15477.8,15360.2,15390.5,1870000000
04-04-2022,15192.8,15393.35,15184.7,15384.2,1960000000
01-04-2022,14890.1,15111.35,14882.6,15087.3,1850000000
31-03-2022,14925.55,14963.4,14871,14894.5,1820000000
30-03-2022,14880.7,14924.75,14823.55,14896.9,2150000000
29-03-2022,14744.05,14773.15,14689.6,14761.9,1720000000
28-03-2022,14686.25,14694.85,14515.65,14675.85,1550000000
25-03-2022,14763.9,14768.3,14590.45,14651.7,1400000000
24-03-2022,14598.75,14744.7,14595.7,14699.35,1610000000
23-03-2022,14806.6,14833.3,14660.45,14695.15,1680000000
22-03-2022,14613.1,14738.15,14492.25,14724.05,1520000000
21-03-2022,14773.05,14789.85,14590.7,14602.35,1500000000
17-03-2022,14667.2,14756.55,14644.75,14721.7,2600000000
16-03-2022,14392.55,14491.45,14369.5,14481.8,1280000000
15-03-2022,14408.75,14433.75,14130.9,14215.85,1770000000
14-03-2022,14248.9,14389.35,14189.1,14374.6,1450000000
11-03-2022,14145.5,14268.3,14098.7,14237.15,1530000000
10-03-2022,14313.2,14316.8,14079.85,14189,1950000000
09-03-2022,13786.4,14037.65,13721.95,13979.6,1860000000
08-03-2022,13504.75,13720.1,13423.55,13706.75,1990000000
07-03-2022,13594.75,13637.5,13438.3,13564.25,2130000000
04-03-2022,14020.2,14075,13828.45,13893.15,2160000000
03-03-2022,14327.7,14364.6,14094.3,14135.95,1980000000
02-03-2022,14161.7,14265.5,14104.75,14199.8,1960000000
28-02-2022,14047.75,14320.95,13928.8,14307.95,2040000000
25-02-2022,14018.1,14247.05,14007.7,14187.4,2080000000
24-02-2022,14055.85,14180.85,13747.45,13775.7,2900000000
23-02-2022,14581.05,14629.05,14482.3,14506.95,1360000000
22-02-2022,14269.45,14527.2,14267.6,14489.05,1790000000
21-02-2022,14638.35,14733.1,14498.2,14597.1,1690000000
18-02-2022,14711.3,14815,14692.65,14710.7,1110000000
17-02-2022,14857.1,14895.65,14725.05,14772.05,1170000000
